"filename", "language", "PowerShell", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "JSON", "HTML", "Python", "pip requirements", "TypeScript", "TypeScript JSX", "YAML", "JSON with Comments", "Java", "Batch", "Java Properties", "XML", "MS SQL", "comment", "blank", "total"
"c:\Users\eyash\news_bridge\OLD\news_bridge_android_app\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 5, 0, 16
"c:\Users\eyash\news_bridge\OLD\news_bridge_android_app\app\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 4, 0, 13
"c:\Users\eyash\news_bridge\OLD\news_bridge_android_app\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 10, 0, 19
"c:\Users\eyash\news_bridge\OLD\news_bridge_android_app\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\eyash\news_bridge\OLD\news_bridge_android_app\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 13, 0, 15
"c:\Users\eyash\news_bridge\OLD\news_bridge_android_app\gradle\gradle-daemon-jvm.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 1, 13
"c:\Users\eyash\news_bridge\OLD\news_bridge_android_app\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 1, 10
"c:\Users\eyash\news_bridge\OLD\news_bridge_android_app\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 32, 22, 95
"c:\Users\eyash\news_bridge\avatar-studio-component\EXAMPLES.md", "Markdown", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 306
"c:\Users\eyash\news_bridge\avatar-studio-component\README.md", "Markdown", 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 382
